"","Subtype","Provider","Name","Town","Council","Clients","Grades published","Setting","Staffing","Leadership","Care and play","Last_inspection_Date","Registered","Complaints upheld since 22/23","Enforcements since 22/23"
"129","Over 3s","Private","Schools' Out!","Glasgow","East Renfrewshire","Children","16/05/2017",4,4,4,4,"25/04/2017","2002_4",0,0
"130","Over 3s","Local Authority","East Renfrewshire CHCP Holiday Programme and Inclusive Support Service","Glasgow","East Renfrewshire","Children","04/10/2022",5,5,4,5,"26/07/2022","2002_4",0,0
"131","Over 3s","Voluntary or Not for Profit","Cosgrove Care Playscheme","Glasgow","East Renfrewshire","Children","25/04/2018",5,5,4,4,"10/04/2018","2002_4",0,0
"132","Under 3s","Private","Kirkhillgait Nursery","Glasgow","East Renfrewshire","Children","10/10/2023",4,4,4,4,"06/09/2023","2002_4",1,0
"133","Over 3s","Private","MACS Carolside","Glasgow","East Renfrewshire","Children","21/08/2018",5,5,5,5,"08/06/2018","2002_4",0,0
"134","Over 3s","Private","MACS St Cadoc's","Glasgow","East Renfrewshire","Children","04/03/2024",5,4,5,5,"16/01/2024","2002_4",0,0
"135","Under 3s","Private","Elmwood Nursery","Glasgow","East Renfrewshire","Children","18/05/2022",4,4,4,4,"11/03/2022","2002_4",0,0
"136","Over 3s","Private","MACS Kirkhill","Glasgow","East Renfrewshire","Children","03/10/2017",5,5,5,6,"30/08/2017","2002_4",0,0
"137","Over 3s","Private","MACS Neilston","Glasgow","East Renfrewshire","Children","18/12/2023",4,5,5,5,"15/11/2023","2002_4",0,0
"138","Under 3s","Private","Duchal Nursery School","Kilmacolm","Inverclyde","Children","14/02/2022",4,4,4,4,"03/12/2021","2002_4",0,0
"139","Under 3s","Private","Madeira Nursery","Greenock","Inverclyde","Children","13/06/2023",3,3,3,3,"24/04/2023","2002_4",0,0
"140","Under 3s","Voluntary or Not for Profit","West Kilbride Early Years Centre","West Kilbride","North Ayrshire","Children","07/08/2019",4,5,5,5,"22/05/2019","2002_4",0,0
"141","Under 3s","Voluntary or Not for Profit","Douglas Park Nursery","Largs","North Ayrshire","Children","26/06/2018",4,4,4,4,"31/05/2018","2002_4",0,0
"142","Under 3s","Private","Rainbow Childcare","Kilwinning","North Ayrshire","Children","16/01/2023",5,5,5,5,"23/11/2022","2002_4",1,0
"143","Under 3s","Private","Busy Bees Nursery","Ardrossan","North Ayrshire","Children","20/12/2019",5,5,5,6,"17/10/2019","2002_4",0,0
"144","Over 3s","Voluntary or Not for Profit","West Kilbride Out of School","West Kilbride","North Ayrshire","Children","16/01/2023",4,4,4,4,"07/12/2022","2002_4",0,0
"145","Under 3s","Private","First Steps Nursery","Irvine","North Ayrshire","Children","25/03/2024",5,4,4,4,"13/02/2024","2002_4",1,0
"146","Over 3s","Voluntary or Not for Profit","Girdle Toll Out of School Care (Annick)","Irvine","North Ayrshire","Children","14/05/2019",4,4,4,4,"13/03/2019","2002_4",0,0
"147","Over 3s","Private","Dalry Out Of School Care","Dalry","North Ayrshire","Children","28/09/2020",4,4,4,4,"05/03/2020","2002_4",0,0
"148","Over 3s","Voluntary or Not for Profit","Girdle Toll Out of School Care (Lawthorn)","Irvine","North Ayrshire","Children","17/01/2019",4,4,4,4,"21/11/2018","2002_4",0,0
"149","Under 3s","Private","The Bumble Bee Nursery","Bellshill","North Lanarkshire","Children","12/12/2019",5,5,5,5,"23/10/2019","2002_4",0,0
"150","Under 3s","Private","Firtrees Nursery & Out of School Care","Motherwell","North Lanarkshire","Children","05/07/2023",4,3,4,4,"16/05/2024","2002_4",4,0
"151","Under 3s","Voluntary or Not for Profit","YMCA Bellshill & Mossend","Bellshill","North Lanarkshire","Children","20/12/2023",4,5,3,4,"20/11/2023","2002_4",0,0
"152","Under 3s","Private","Fullwood Nursery","Motherwell","North Lanarkshire","Children","27/01/2020",4,5,5,5,"24/01/2020","2002_4",0,0
"153","Under 3s","Private","First Class Day Nursery","Airdrie","North Lanarkshire","Children","17/06/2019",5,5,5,5,"31/05/2019","2002_4",0,0
"154","Under 3s","Private","Heathpark Private Nursery","Airdrie","North Lanarkshire","Children","23/10/2023",4,4,4,4,"28/09/2023","2002_4",0,0
"155","Under 3s","Private","Mobile Play in Action","Airdrie","North Lanarkshire","Children","02/04/2019",5,5,5,5,"15/02/2019","2002_4",0,0
"156","Over 3s","Voluntary or Not for Profit","Oscars Playscheme","Airdrie","North Lanarkshire","Children","02/04/2019",4,5,4,4,"27/02/2019","2002_4",0,0
"157","Under 3s","Private","Manor Park Nursery","Coatbridge","North Lanarkshire","Children","09/01/2023",4,4,4,4,"18/11/2022","2002_4",0,0
"158","Under 3s","Voluntary or Not for Profit","Cumbernauld Campus Nursery, New College Lanarkshire","Cumbernauld","North Lanarkshire","Children","05/12/2018",5,5,4,5,"10/05/2024","2002_4",0,0
"159","Under 3s","Voluntary or Not for Profit","Cumbernauld & Kilsyth Workplace Nursery & OSC - Seafar","Glasgow","North Lanarkshire","Children","27/11/2019",4,5,4,5,"22/11/2019","2002_4",0,0
"160","Over 3s","Voluntary or Not for Profit","Cumbernauld YMCA- Kildrum Farm (POMP)","Glasgow","North Lanarkshire","Children","14/02/2024",4,4,4,4,"22/01/2024","2002_4",0,0
"161","Under 3s","Private","Snowdrop Nursery","Glasgow","North Lanarkshire","Children","16/01/2019",4,5,4,5,"30/11/2018","2002_4",0,0
"162","Over 3s","Voluntary or Not for Profit","St. Helen's Primary Out Of School Care","Glasgow","North Lanarkshire","Children","28/06/2023",4,5,4,4,"21/06/2023","2002_4",0,0
"163","Under 3s","Private","Tiny Tots Nursery","Glasgow","North Lanarkshire","Children","29/08/2023",4,5,4,4,"01/08/2023","2002_4",0,0
"164","Under 3s","Private","Jennyswell Nursery","Paisley","Renfrewshire","Children","07/12/2021",4,4,5,4,"10/11/2021","2002_4",0,0
"165","Over 3s","Voluntary or Not for Profit","Inchinnan Community Nursery","Renfrew","Renfrewshire","Children","16/05/2018",5,4,5,5,"12/03/2018","2002_4",0,0
"166","Under 3s","Private","Happitots Nursery  - Glasgow Airport","Paisley","Renfrewshire","Children","08/02/2024",2,2,3,3,"30/01/2024","2002_4",0,0
"167","Under 3s","Voluntary or Not for Profit","Maxwellton Park Nursery & OSC","Paisley","Renfrewshire","Children","31/01/2018",5,5,5,5,"03/11/2017","2002_4",0,0
